337	1	3561	2106	488	321	158	488	11
338	1	1592	1000	222	109	54	207	11
339	2	488	324	76	30	16	42	11
340	2	616	419	91	48	16	42	11
341	2	640	468	58	49	14	51	11
342	4	13341	10602	821	489	277	1152	11
343	2	424	271	57	35	18	43	11
344	2	490	249	86	50	18	87	11
345	1	1315	850	117	80	39	229	11
346	4	335	206	45	35	12	37	11
347	4	1990	1197	297	194	62	240	12
348	1	6061	3559	675	550	245	1032	13
349	3	617	404	111	57	15	30	11
350	1	2337	1198	380	288	141	330	13
351	1	79278	53048	14858	6917	1360	3095	13
352	1	2801	1733	374	232	120	342	11
353	5	2148	1091	332	187	98	440	11
354	4	883	648	118	56	21	40	11
355	1	873	530	94	61	45	143	11
356	1	627	425	104	49	14	35	11
357	1	20661	15874	2712	1194	279	602	13
358	5	2199	1230	246	220	110	393	12
359	3	6211	3749	1685	565	105	107	11
360	2	709	397	96	82	29	105	11
361	2	226	138	26	21	8	33	11
362	4	3698	2605	331	248	118	396	13
363	4	7203	4599	850	557	330	867	13
364	4	1667	1149	145	117	78	178	12
365	2	1158	917	153	47	11	30	11
366	3	5333	3967	894	310	53	109	11
367	3	3707	2845	557	194	38	73	11
368	3	2910	2033	508	252	52	65	11
369	3	5697	4015	1098	364	93	127	11
370	3	3905	2737	642	286	83	157	11
371	1	27828	18569	4064	2079	701	2415	14
372	5	14859	9288	1538	1143	639	2251	14
373	5	160980	114350	24446	10919	3417	7848	15
374	1	23435	16244	3443	1771	532	1445	13
375	2	4821	3090	1022	402	113	194	12
376	1	2801	1949	298	192	107	255	12
377	1	24984	18042	3189	1714	652	1387	13
378	5	47118	32810	6595	3633	1238	2842	14
379	2	7803	5226	1662	648	116	151	12
380	1	7964	5991	899	445	142	487	12
381	4	2090	1263	253	196	119	259	12
382	4	891	595	98	76	37	85	11
383	1	10183	5530	1508	1073	505	1567	13
384	4	1452	741	258	258	66	129	11
385	5	3740	2054	663	348	159	516	12
386	1	2567	1582	392	229	109	255	12
387	1	6057	3373	961	634	346	743	12
388	1	535	212	61	49	37	176	11
389	1	7196	4775	1018	515	250	638	13
390	1	9567	5714	1056	762	492	1543	11
391	1	8983	7053	1335	312	60	223	11
392	4	6717	4002	569	499	273	1374	13
393	4	4989	2918	783	458	141	689	12
394	4	533	284	54	59	25	111	11
395	1	23341	17729	705	606	394	3907	11
396	1	1340	833	130	95	59	223	11
397	1	30535	21903	3970	2022	757	1883	13
398	1	5220	3461	792	447	143	377	11
399	5	681	451	78	43	25	84	11
400	5	5090	3559	546	317	168	500	13
401	5	9990	4590	1149	1155	769	2327	14
402	5	3745	1993	532	380	224	616	13
403	5	946	533	80	74	42	217	12
404	5	1650	868	233	186	94	269	12
405	5	1902	1016	269	187	118	312	12
406	5	2369	1118	242	205	139	665	12
407	5	16231	11857	2314	1030	353	677	13
408	6	1531	966	281	134	44	106	11
409	3	5770	4250	843	384	110	183	11
410	1	727	501	78	58	17	73	11
411	6	981	653	103	71	38	116	11
412	2	692	470	104	54	19	45	11
413	2	1461	729	236	183	113	200	11
